"key","message","comment","context"
"%d bank statement couldn't be deleted, please check the logs.","%d банковские выписки(выписки) не могут быть удалены. Пожалуйста"," ознакомьтесь с журналами.",
"%d errors occurred. Please check tracebacks for details.","%d произошло ошибок. Пожалуйста"," ознакомьтесь с подробностями в треках.",
"%d line successfully rejected","%d строка успешно отклонена",,
"%d lines successfully rejected","%d строки успешно отклонены",,
"%s : Bank statement line %s amount can't be null","%s : строка банковской выписки %s сумма не может быть равна нулю",,
"%s : Computed balance and Ending Balance must be equal","Начальный баланс и расчетный баланс должны быть равны",,
"%s : MoveLine amount is not equals with bank statement line %s","%s : сумма в строке записи не равна строке банковской выписки %s",,
"%s : Please configure an ICS number for the company %s.","%s : пожалуйста"," укажите номер ICS для компании %s.",
"%s : Please, configure a default signer for the company %s","%s : пожалуйста"," настройте подписывающего по умолчанию для компании %s",
"%s : Please, configure a sequence for the Bill of exchange and the company %s","%s : пожалуйста"," настройте последовательность для LCR и компании %s",
"%s : Please, configure a sequence for the International Credit Transfers and the company %s","%s: пожалуйста"," настройте последовательность для международных денежных переводов и компании %s",
"%s : Please, configure a sequence for the International Direct Debits and the company %s","%s : пожалуйста"," настройте последовательность для международных денежных переводов и компании %s",
"%s : Please, configure a sequence for the International Treasury Transfers and the company %s","%s : пожалуйста"," настройте последовательность для международных денежных переводов и компания %s",
"%s : Please, configure a sequence for the National Treasury Transfers and the company %s","%s : пожалуйста"," настройте последовательность для внутренних денежных переводов и компания %s",
"%s : Please, configure a sequence for the Other Bank Orders and the company %s","%s : пожалуйста"," настройте последовательность для других банковских заказов и компания %s",
"%s : Please, configure a sequence for the SEPA Credit Transfers and the company %s","%s : пожалуйста"," настройте последовательность для переводов SEPA и компании %s",
"%s : Please, configure a sequence for the SEPA Direct Debits and the company %s","%s: пожалуйста"," настройте последовательность для списаний SEPA и компании %s",
"%s : Please, configure an account for the bank order for the external bank to bank transfer for the company %s","%s : пожалуйста"," настройте учетную запись для банковского заказа на внешний банковский перевод для компании %s",
"%s : Please, configure an account for the bank order for the internal bank to bank transfer for the company %s","%s : пожалуйста"," настройте учетную запись бухгалтер по внутреннему банковскому переводу банковского заказа для компании %s",
"%s : You must configure bank payment's information for the company %s","%s: пожалуйста"," настройте банковскую платежную информацию для компании %s",
"10 - Bank details IBAN","10-идентификатор учетной записи",,
"10 - Sender bank details type","10 - Тип идентификатора учетной записи",,
"10 - Sequence","10-Ссылка",,
"11 - Bank details code","11 - код валюты счета",,
"11 - Sender bank details IBAN","11-идентификатор учетной записи"," подлежащей списанию",
"12 - Bank order currency","12 - код валюты счета для списания",,
"13 - Total","13-всего",,
"14 - Sender bank details type","14-тип идентификатора учетной записи"," подлежащей списанию",
"15 - Sender bank details IBAN","15-идентификатор учетной записи"," подлежащей списанию",
"16 - Bank order currency","16 - код валюты счета для списания",,
"16 - Economic reason code","16-код экономического основания",,
"17-3 - File format qualifying date","17-3-определяющий дату",,
"18 - Order debit type index","18 - индекс типа дебетовой скидки",,
"18 - Payment mode select","18 - режим регулирования",,
"19 - Fees imputation mode","19-код начисления сборов",,
"19 - Order index type","19-индекс типа скидки",,
"20 - Bank order date","20-дата банковского заказа",,
"21 - Currency","21-код валюты платежных поручений",,
"24-1 - Qualifying of date","24-1-определяющая дата",,
"24-2 - Date","24-2-дата",,
"25 - Currency","25-код валюты перевода",,
"4 - Bank details type","4 - тип идентификатора учетной записи получателя",,
"4 - Bank name","4-название банка получателя",,
"4 - Generation date","4-Дата создания",,
"4-1 - Payment Reason 1","4-1-основание для постановления 1",,
"4-2 - Payment Reason 2","4-2-основание для постановления 2",,
"4-3 - Payment Reason 3","4-3-основание для постановления 3",,
"4-4 - Payment Reason 4","4-4-основание для постановления 4",,
"5 - Bank address","5-местонахождение агентства",,
"5 - Bank details IBAN","5-идентификатор учетной записи получателя",,
"5 - Sender company","5-название компании-эмитента",,
"6 - Bank code","6 - BIC-код банка получателя",,
"6 - Bank details owner name","6-имя получателя",,
"6 - Registration code","6-номер SIRET передатчика",,
"6 - Sender address","6-Адрес отправителя",,
"7 - Country code","7-код страны банка получателя",,
"7 - Registration code","7-номер SIRET передатчика",,
"7 - Sequence","7-ссылка со скидкой",,
"8 - Sequence","8-ссылка со скидкой",,
"9 - Bank details type","Тип идентификатора учетной записи"," подлежащей списанию",
"9 - Country code","9-код страны получателя",,
"9-1 - Special instructions 1","9-1-специальные инструкции 1",,
"9-2 - Special instructions 2","9-2-особые инструкции 2",,
"9-3 - Special instructions 3","9-3-специальные инструкции 3",,
"A - Register code","А - регистрационный код ",,
"A bank order %s already exist for the invoice %s.","Банковский ордер %s уже существует для счета %s.",,
"Acceptance code per recipient line","Код подтверждения для каждой строки получателя",,
"Accepted Bank Details Identifiers","Принятые типы идентификаторов учетных записей",,
"Accepted LCR","CSF принят",,
"Account balance","Бухгалтерский баланс",,
"Account management is missing.","Настройка учетной записи бухгалтерского учета отсутствует.",,
"Account management list",,,
"Accounting",,,
"Accounting Dashboard","Учет Туберкулеза",,
"Accounting Dashboard with invoice terms",,,
"Accounting Move Line(s) to reconcile","Писание(и) для сближения",,
"Accounting auto","Автоматический учет",,
"Accounting details","Детали бухгалтерского учета",,
"Accounting information","Бухгалтерская информация",,
"Accounting move trigger select","Инициирование учета проводок",,
"Accounting settings",,,
"Accounting.Account","Учетный счет",,
"Action","Действие",,
"Active",,,
"Additional information","Дополнительная информация",,
"Allow orders with a transfer currency different from bank details currency","Разрешить заказы в валюте перевода"," отличной от валюты счета эмитента",
"Already accounted","Уже учтено",,
"Already reconciled","Уже сблизились",,
"Amount Rejected","Отклоненная сумма",,
"Amount in transfer's currency","Сумма в валюте перевода",,
"Amount of the semi-interval of confidence for the amounts","Сумма половины доверительного интервала для сумм",,
"Amount remaining to reconcile","Оставшаяся сумма"," подлежащая выверке",
"Amount value of a bank order line is not valid","Сумма"," введенная для строки банковского ордера",
"Amount value of the bank order is not valid","Введенная сумма банковского ордера недействительна",,
"Anomaly has been detected during file generation for bank order %s","При создании банковского файла банковского ордера %s была обнаружена ошибка",,
"Anomaly has been detected during file generation for the additional detail record of the bank order line %s","При создании банковского файла для записи ""дополнительные сведения"" строки банковского заказа %s была обнаружена аномалия",,
"Anomaly has been detected during file generation for the beneficiary bank detail record of the bank order line %s","При создании банковского файла для записи ""сведения о получателе"" банковского заказа %s была обнаружена аномалия",,
"Anomaly has been detected during file generation for the detail record of the bank order line %s","При создании банковского файла для записи ""реквизиты"" строки банковского ордера %s была обнаружена ошибка",,
"Anomaly has been detected during file generation for the endorsed detail record of the bank order line %s","При создании банковского файла для записи ""подтвержденные реквизиты"" строки банковского заказа %s была обнаружена ошибка",,
"Anomaly has been detected during file generation for the further information detail record of the bank order line %s","При создании банковского файла для записи ""дополнительная информация"" в строке банковского заказа %s была обнаружена ошибка",,
"Anomaly has been detected during file generation for the sender record of the bank order %s","При создании банковского файла для записи эмитента банковского ордера %s была обнаружена аномалия",,
"Anomaly has been detected during file generation for the total record of the bank order %s","При создании банковского файла для записи ""всего"" банковского заказа %s была обнаружена аномалия",,
"App",,,
"App bank payment","Приложение для банковских платежей",,
"Are you sure you want merge the selected bank orders ?","Вы уверены"," что хотите объединить выбранные банковские ордера ?",
"Arithmetic total","Итого по арифметике",,
"As the date of your order is in the past, it will be updated to today.","""Поскольку дата вашего заказа была в прошлом, он будет обновлен до сегодняшнего дня"".",,
"Assignment or pledge outside Dailly agreement","уступка или залог вне соглашения Dailly",,
"Associated MoveLine","Линия Ecr. Компаньонка",,
"Auto accounting","Автоматический учет",,
"Auto reconcile","Автоматический подсчет очков",,
"Automatic","Автоматический",,
"Automatic accounting ?","Автоматический учет ?",,
"Automatic pointing","Автоматический подсчет очков",,
"Available","Свободный",,
"Awaiting signature","В ожидании подписания",,
"B1 - Operation code","B1-код операции",,
"B2 - Numbering record","B2-нумерация записи",,
"B3 - Sender number","B3-номер эмитента",,
"BOR",,,
"Balance","Остаток",,
"Balance btn",,,
"Balance updated date","Дата обновления баланса",,
"Bank Account","Банковский счет",,
"Bank Balance","Остатки на банковских счетах",,
"Bank Order","Банковский ордер",,
"Bank Order Details","Реквизиты банковского заказа",,
"Bank Order Lines","Строки банковского ордера",,
"Bank Order Status","Статус",,
"Bank Order date can't be in the past","Дата банковского ордера не может быть в прошлом",,
"Bank Order line","Строка банковского ордера",,
"Bank Order lines","Строки банковского ордера",,
"Bank Orders","Банковские Заказы",,
"Bank Orders economic reason","Экономическая причина (банковский приказ)",,
"Bank Orders economic reasons","Экономические причины (банковский приказ)",,
"Bank Orders file format","Формат банковского файла",,
"Bank Orders file formats","Форматы банковских файлов",,
"Bank Reconciliation","Выверка банковских счетов",,
"Bank Reconciliation Lines","Линии выверки банковских счетов",,
"Bank Reconciliations","Ближе. банковские",,
"Bank Statement","Выписка из банковского счета",,
"Bank Statement / Reconciliations","Банковский учет / выверка счетов",,
"Bank Statement detail","Реквизиты банковской выписки",,
"Bank Statement line","Строка банковской выписки",,
"Bank Statement line print wizard","Мастер печати строк выписки",,
"Bank Statement lines","Строки банковской выписки",,
"Bank Statements","Банковские выписки",,
"Bank Statements file format","Формат файла банковских выписок",,
"Bank Statements file formats","Форматы файлов банковских выписок",,
"Bank accounting / reconciliation rule","Правило сопоставления / сверки",,
"Bank details","ребер",,
"Bank details are inactive.","Ребро неактивно.",,
"Bank details in account management is missing.","RIB в настройке учетной записи отсутствует.",,
"Bank details is missing on invoice %s.","Ребро отсутствует в счете %s.",,
"Bank details not validated","Неподтвержденные ребра",,
"Bank details tree","Дерево ребер",,
"Bank order","Банковский ордер",,
"Bank order Date","Дата банковского ордера",,
"Bank order amount","Сумма банковского заказа",,
"Bank order config.","Конфигурация. банковские заказы",,
"Bank order confirmation","Подтверждение банковского заказа",,
"Bank order currency","Валюта банковского ордера",,
"Bank order due Date","Дата погашения банковского ордера",,
"Bank order export folder does not exist: %s","Файл экспорта банковских заказов не существует.",,
"Bank order export folder path","Папка экспорта банковских заказов",,
"Bank order file format","Формат файла банковских ордеров",,
"Bank order file formats","Форматы файлов банковских ордеров",,
"Bank order generation","генерация банковских ордеров",,
"Bank order line","Строка банковского ордера",,
"Bank order realization","Выполнение банковского заказа",,
"Bank orders","Банковские заказы",,
"Bank orders can only be deleted at draft or canceled status.","Банковские ордера могут быть удалены только в статусах ""черновик « и »отменен"".",,
"Bank payment batch","Пакетные банковские платежи",,
"Bank payment config (${ name })","Конфигурация. Банковские платежи (${ имя })",,
"Bank payment configuration","Настройка банковских платежей",,
"Bank payment configurations","Конфигурации банковских платежей",,
"Bank reconcile amount must be inferior or equal to credit or debit.","Сверяемая сумма должна быть меньше или равна кредитной или дебетовой.",,
"Bank reconciled amount","Приблизительная сумма",,
"Bank reconciliation","Выверка банковских счетов",,
"Bank reconciliation Line","Линия выверки банковских счетов",,
"Bank reconciliation Lines","Линии выверки банковских счетов",,
"Bank reconciliation filters",,,
"Bank reconciliation statement","Отчет о выверке банковских счетов",,
"Bank reconciliation statement template","Образец отчета о выверке банковских счетов",,
"Bank reconciliations","Выверка банковских счетов",,
"Bank statement","Выписка из банковского счета",,
"Bank statement already imported. Aborted.","Выписка из банковского счета уже импортирована. Импорт прерван.",,
"Bank statement details","Реквизиты банковской выписки",,
"Bank statement line AFK120 filters",,,
"Bank statement line print wizard","Мастер печати строк выписки",,
"Bank statement lines","Строки банковской выписки",,
"Bank statement lines template","Шаблон строк банковской выписки",,
"Bank statement queries","Запросы банковской выписки",,
"Bank statement query","Запрос банковской выписки",,
"Bank statement rule","Правило"," связанное с выписками",
"Bank statement rules","Правила"," связанные с выписками",
"Bank statement(s) has been removed successfully","Банковская выписка(выписки) удалена(удалены) ",,
"Bank statements file formats","Форматы файлов банковских выписок",,
"Bank to Bank Transfers","Переводы между банками",,
"Bank to bank account for external order (multiple company)","Учетный счет для банковских заказов (несколько компаний)",,
"Bank to bank account for internal order (unique company)","Учетный счет для банковских заказов (только для одной компании)",,
"BankDetails/Payment Mode/Interbank code configuration","Конфигурация RIB/способ оплаты/межбанковский код",,
"BankOrder.partnerTypeSelect","Получатель",,
"BankReconciliation.account","банковский счет",,
"BankReconciliation.amount","Сумма",,
"BankReconciliation.cash_account","Счет ликвидности",,
"BankReconciliation.code","Код",,
"BankReconciliation.company","Предприятие",,
"BankReconciliation.credit","Кредит",,
"BankReconciliation.currency","Валюта",,
"BankReconciliation.debit","Дебетовый",,
"BankReconciliation.journal","Банк",,
"BankReconciliation.moves_unaccounted","Строки банковской выписки",,
"BankReconciliation.name","Имя",,
"BankReconciliation.ongoing","В процессе согласования",,
"BankReconciliation.page1Title","Священные писания"," не сверенные",
"BankReconciliation.page2Title",,,
"BankReconciliation.reference","Справочная выписка по банковскому счету",,
"BankReconciliation.report_date","Дата",,
"BankReconciliation.report_edition_date","Дата публикации",,
"BankReconciliation.to_date","Дата",,
"BankReconciliation.type","Типизированный",,
"BankReconciliation.unreconciled_move_lines","Строки письма"," не расположенные близко друг к другу",
"BankReconciliationStatement.SummaryTitle","Синтез",,
"BankReconciliationStatement.account","Учетный счет",,
"BankReconciliationStatement.accountBalance","Баланс бухгалтерского учета",,
"BankReconciliationStatement.accountBankGap","Разница в бухгалтерском учете и банке",,
"BankReconciliationStatement.accountCode","Учетный счет",,
"BankReconciliationStatement.actualBalance","Остаток",,
"BankReconciliationStatement.amountRemaining","оставшаяся",,
"BankReconciliationStatement.amountToReconcile","сумма подлежащая выверке сумма",,
"BankReconciliationStatement.bankBalance","Банковский баланс",,
"BankReconciliationStatement.bankDetails","Выписка из банковского счета",,
"BankReconciliationStatement.code","Код",,
"BankReconciliationStatement.company","Предприятие",,
"BankReconciliationStatement.credit","Кредит",,
"BankReconciliationStatement.currency","Валюта",,
"BankReconciliationStatement.date","Дата",,
"BankReconciliationStatement.debit","Скорость передачи",,
"BankReconciliationStatement.description","Описание",,
"BankReconciliationStatement.journal","Журнала",,
"BankReconciliationStatement.journalCode","Журнал",,
"BankReconciliationStatement.line","Линия",,
"BankReconciliationStatement.mainTitle","Состояние списания средств с банковского счета",,
"BankReconciliationStatement.name","Имя",,
"BankReconciliationStatement.noLineFoundMessage","Записей не найдено.",,
"BankReconciliationStatement.page1Title","Строки банковской выписки"," не сверенные или частично сверенные",
"BankReconciliationStatement.page2Title","Строки записей"," не совпадающие или частично расположенные близко друг к другу",
"BankReconciliationStatement.reconciliationGap","Разница в согласовании",,
"BankReconciliationStatement.reference","ссылка",,
"BankReconciliationStatement.unreconileAccountBalance","Непроверенный баланс бухгалтерского учета",,
"BankReconciliationStatementNew.accountingBalanceOn","БАЛАНС БУХГАЛТЕРСКОГО УЧЕТА ПО СОСТОЯНИЮ НА",,
"BankReconciliationStatementNew.accountingExtract","ВЫПИСКА ИЗ БУХГАЛТЕРСКОГО УЧЕТА",,
"BankReconciliationStatementNew.balanceAfterReconcilation","ОСТАТОК ПОСЛЕ ВЫВЕРКИ",,
"BankReconciliationStatementNew.balanceExtractOn","ОСТАТОК"," ИЗВЛЕЧЕННЫЙ НА",
"BankReconciliationStatementNew.bank","Банк",,
"BankReconciliationStatementNew.bankStatementExtract","ВЫПИСКА О СНЯТИИ СРЕДСТВ С БАНКОВСКОГО СЧЕТА",,
"BankReconciliationStatementNew.comment","Комментарий",,
"BankReconciliationStatementNew.correctedDateTimeLabel","Сверка исправлена",,
"BankReconciliationStatementNew.correctedUserLabel","по",,
"BankReconciliationStatementNew.from",,,
"BankReconciliationStatementNew.iban","номиналу IBAN",,
"BankReconciliationStatementNew.label","Формулировка",,
"BankReconciliationStatementNew.mainTitle","ОТЧЕТ О ВЫВЕРКЕ БАНКОВСКИХ СЧЕТОВ В",,
"BankReconciliationStatementNew.moveDate","Дата написания",,
"BankReconciliationStatementNew.nonPostedMoveStatement","СОСТОЯНИЕ НЕПУНКТУАЛЬНЫХ В",,
"BankReconciliationStatementNew.operationDate","Дата операции",,
"BankReconciliationStatementNew.originDate","Дата подтверждающий документ",,
"BankReconciliationStatementNew.postedNbr","Номер Точки",,
"BankReconciliationStatementNew.to","A",,
"BankReconciliationStatementNew.toBeConfirmed",,,
"BankReconciliationStatementNew.totalGeneralBalance","ВСЕГО ГЕНЕРАЛОВ",,
"BankReconciliationStatementNew.valueDate","Дата валютирования",,
"BankStatement.Import","Импортировать",,
"BankStatement.accountCurrency","Валюта счета :",,
"BankStatement.bankAccount","Банковский счет :",,
"BankStatement.creationDateFrom","Дата создания",,
"BankStatement.creationDateTo","в",,
"BankStatement.credit","кредит",,
"BankStatement.debit","Скорость Потока",,
"BankStatement.exempt","Exo.",,
"BankStatement.finalBalance","Окончательный остаток",,
"BankStatement.headerText","Суммы указаны в валюте банковского счета.",,
"BankStatement.iban","R. I. B.:",,
"BankStatement.initialBalance","начальный баланс",,
"BankStatement.label","Формулировка",,
"BankStatement.movement","Движение",,
"BankStatement.operationDate","DO",,
"BankStatement.origin","N<sup>o< / sup> запись",,
"BankStatement.reference","Ссылка.",,
"BankStatement.title","Выписки со счетов",,
"BankStatement.totalOfOperations","Итого по операциям",,
"BankStatement.unavailable","Индиспо.",,
"BankStatement.valueDate","DV",,
"BankStatement.yes","O",,
"Batch","массовая обработка",,
"Batch step","Этапы лечения",,
"Bill of exchange bank orders sequences","Последовательности банковских заказов LCR",,
"Bill of exchange data type","Тип данных эффектов",,
"Bill of exchange generation","генерация эффектов",,
"Bill of exchange receivable account","Счет дебиторской",,
"Bill of exchanges","задолженности LCR",,
"Binding file","Файл привязки",,
"By filling in this field, the selected tax will be applied to the move lines for which the tax is mandatory instead of the one filled in the configuration of the account","Заполнив это поле, выбранный налог будет применен к строкам записи, налог которых является обязательным, вместо налога, указанного в конфигурации учетной записи бухгалтерского учета",,
"C1 - Convention type","C1-тип соглашения",,
"C1 - Receiver address: Number and name lane","C1-адрес тягача : номер и название полосы движения",,
"C1 - Sequence","C1-Ссылка",,
"C1-2 - Receiver reference","C1-2: Справочная информация о чертеже",,
"C2 - Company name","%d банковские выписки(выписки) не могут быть удалены. Пожалуйста"," ознакомьтесь с журналами.",
"C2 - Deposit date","%d произошло ошибок. Пожалуйста"," ознакомьтесь с подробностями в треках.",
"C2 - Receiver address: City","%d строка успешно отклонена",,
"C2 - Receiver company name","%d строки успешно отклонены",,
"C2 - Receiver name","%s : строка банковской выписки %s сумма не может быть равна нулю",,
"C2 - Sender company name","Начальный баланс и расчетный баланс должны быть равны",,
"C3 - Receiver address: ZIP code","%s : сумма в строке записи не равна строке банковской выписки %s",,
"C3 - Sender company name","%s : пожалуйста"," укажите номер ICS для компании %s.",
"Can't load while another reconciliation is open","%s : пожалуйста"," настройте подписывающего по умолчанию для компании %s",
"Cancel","%s : пожалуйста"," настройте последовательность для LCR и компании %s",
"Cancel bill of exchange","%s: пожалуйста"," настройте последовательность для международных денежных переводов и компании %s",
"Canceled","%s : пожалуйста"," настройте последовательность для международных денежных переводов и компании %s",
"Cancellation of Bill of Exchange for invoice %s","%s : пожалуйста"," настройте последовательность для международных денежных переводов и компания %s",
"Carried out","%s : пожалуйста"," настройте последовательность для внутренних денежных переводов и компания %s",
"Carry out","%s : пожалуйста"," настройте последовательность для других банковских заказов и компания %s",
"Cash account","%s : пожалуйста"," настройте последовательность для переводов SEPA и компании %s",
"Cash out after expiration of unpaid bill's return period","%s: пожалуйста"," настройте последовательность для списаний SEPA и компании %s",
"Cheque","%s : пожалуйста"," настройте учетную запись для банковского заказа на внешний банковский перевод для компании %s",
"Code","%s : пожалуйста"," настройте учетную запись бухгалтер по внутреннему банковскому переводу банковского заказа для компании %s",
"Collection and credit lump sum after maturity","%s: пожалуйста"," настройте банковскую платежную информацию для компании %s",
"Comment","10-идентификатор учетной записи",,
"Commission exemption index","10 - Тип идентификатора учетной записи",,
"Company","10-Ссылка",,
"Company bank details is missing in batch.","11 - код валюты счета",,
"Company currency","11-идентификатор учетной записи"," подлежащей списанию",
"Company currency amount","12 - код валюты счета для списания",,
"Company is missing.","13-всего",,
"Compute balances","14-тип идентификатора учетной записи"," подлежащей списанию",
"Computed Balance","15-идентификатор учетной записи"," подлежащей списанию",
"Computed balance in accounting and Ending Balance of the statement should be equal to validate the Statement","16 - код валюты счета для списания",,
"Confidence index","16-код экономического основания",,
"Config. per country","17-3-определяющий дату",,
"Confirm","18 - индекс типа дебетовой скидки",,
"Confirm auto. the bank orders","18 - режим регулирования",,
"Confirmed","19-код начисления сборов",,
"Consolidate bank order lines per partner","19-индекс типа скидки",,
"Correct","20-дата банковского заказа",,
"Corrected","21-код валюты платежных поручений",,
"Corrected date time","24-1-определяющая дата",,
"Corrected user","24-2-дата",,
"Correction","25-код валюты перевода",,
"Counter","4 - тип идентификатора учетной записи получателя",,
"Counterpart account","4-название банка получателя",,
"Country","4-Дата создания",,
"Credit","4-1-основание для постановления 1",,
"Credit Transfers","4-2-основание для постановления 2",,
"Credit transfer bank orders sequences","4-3-основание для постановления 3",,
"CreditTransferPartnerReimbursement (batch)","4-4-основание для постановления 4",,
"Currency","5-местонахождение агентства",,
"Currency in company bank details is missing.","5-идентификатор учетной записи получателя",,
"Current bank statement doesn't contain a final line","5-название компании-эмитента",,
"Current bank statement doesn't contain an initial line","6 - BIC-код банка получателя",,
"Current bank statement's initial balance does not match previous bank statement's final balance","6-имя получателя",,
"Customer","6-номер SIRET передатчика",,
"Customer invoices","6-Адрес отправителя",,
"D1 - Bank address","7-код страны банка получателя",,
"D1 - Bank domiciliation","7-номер SIRET передатчика",,
"D1 - Sender bank address","7-ссылка со скидкой",,
"D1-1 - Bank order sequence","8-ссылка со скидкой",,
"D2-1 - Acceptation","Тип идентификатора учетной записи"," подлежащей списанию",
"D2-1 - Entry code","9-код страны получателя",,
"D2-2 - Daily code","9-1-специальные инструкции 1",,
"D2-3 - Currency code","9-2-особые инструкции 2",,
"D3 - Receiver bank code","9-3-специальные инструкции 3",,
"D3 - Sender bank code","А - регистрационный код ",,
"D3 - Sort code","Банковский ордер %s уже существует для счета %s.",,
"D4 - Account number","Код подтверждения для каждой строки получателя",,
"D4 - Receiver bank sort code","Принятые типы идентификаторов учетных записей",,
"D4 - Sender bank sort code","CSF принят",,
"D5 - Receiver bank account number","Бухгалтерский баланс",,
"D5 - Sender bank account number","Настройка учетной записи бухгалтерского учета отсутствует.",,
"Dailly code",,,
"Date",,,
"Debit","Учет Туберкулеза",,
"Default Currency",,,
"Default additional information","Писание(и) для сближения",,
"Default economic reason","Автоматический учет",,
"Default fees imputation","Детали бухгалтерского учета",,
"Default payment Mode","Бухгалтерская информация",,
"Default receiver country","Инициирование учета проводок",,
"Default signatory",,,
"Delete","Учетный счет",,
"Description","Действие",,
"Direct Debits",,,
"Direct debit","Дополнительная информация",,
"Direct debit bank orders sequences","Разрешить заказы в валюте перевода"," отличной от валюты счета эмитента",
"Direct debit data type","Уже учтено",,
"Discounted transfer under a Dailly agreement","Уже сблизились",,
"Display additional information","Отклоненная сумма",,
"Display economic reason","Сумма в валюте перевода",,
"Display fees imputation","Сумма половины доверительного интервала для сумм",,
"Display further information","Оставшаяся сумма"," подлежащая выверке",
"Display payment mode","Сумма"," введенная для строки банковского ордера",
"Display receiver address","Введенная сумма банковского ордера недействительна",,
"Display receiver country","При создании банковского файла банковского ордера %s была обнаружена ошибка",,
