"key","message","comment","context"
"Display the invoice","При создании банковского файла для записи ""дополнительные сведения"" строки банковского заказа %s была обнаружена аномалия",,
"Draft","При создании банковского файла для записи ""сведения о получателе"" банковского заказа %s была обнаружена аномалия",,
"Due date","При создании банковского файла для записи ""реквизиты"" строки банковского ордера %s была обнаружена ошибка",,
"Duration (days) of the semi-interval of convidence for the dates","При создании банковского файла для записи ""подтвержденные реквизиты"" строки банковского заказа %s была обнаружена ошибка",,
"E - Bank order amount","При создании банковского файла для записи ""дополнительная информация"" в строке банковского заказа %s была обнаружена ошибка",,
"E - Mandatory area","При создании банковского файла для записи эмитента банковского ордера %s была обнаружена аномалия",,
"E1 - Amount","При создании банковского файла для записи ""всего"" банковского заказа %s была обнаружена аномалия",,
"E1 - Total amount",,,
"E2 - Mandatory area","Приложение для банковских платежей",,
"Each (un)reconciliation with the status 'Under correction' updates immediately the reconciled amount of the relevant line","Вы уверены"," что хотите объединить выбранные банковские ордера ?",
"Economic reason","Итого по арифметике",,
"Effect Date","""Поскольку дата вашего заказа была в прошлом, он будет обновлен до сегодняшнего дня"".",,
"Email adress is missing for partner %s","уступка или залог вне соглашения Dailly",,
"Employee","Линия Ecr. Компаньонка",,
"Ending Balance","Автоматический учет",,
"Ent. Credit","Автоматический подсчет очков",,
"Ent. Currency","Автоматический",,
"Ent. Debit","Автоматический учет ?",,
"Entry","Автоматический подсчет очков",,
"Entry code","Свободный",,
"Equivalent amount in sender bank details' currency","В ожидании подписания",,
"Error while reading the csv file. Make sure that decimal values use a dot and not a comma.","B1-код операции",,
"Exempt","B2-нумерация записи",,
"Expense","B3-номер эмитента",,
"F - Receiver label",,,
"F1 - Due date","Остаток",,
"F1 - Value's date",,,
"F2-1 - Creation date","Дата обновления баланса",,
"F3 - Sender bank siren number","Банковский счет",,
"F3 - Sender company siren number","Остатки на банковских счетах",,
"F3-4 - SIREN number","Банковский ордер",,
"Failed to create a move for the invoice payment.","Реквизиты банковского заказа",,
"Failed to create bank order from invoice payment","Строки банковского ордера",,
"Fees imputation","Статус",,
"Field allowing to enable automatic pointing during reconciliation. Pointing can still be done manually when incomplete","Дата банковского ордера не может быть в прошлом",,
"Field indicating the confidence index for automatic reconcile. Green dot means 'Equal amount and date in range', orange dot means 'Equal amount and date out of range', red dot means 'Amount and date in range'","Строка банковского ордера",,
"File","Строки банковского ордера",,
"File format","Банковские Заказы",,
"File generation date","Экономическая причина (банковский приказ)",,
"File generation supported","Экономические причины (банковский приказ)",,
"File to send","Формат банковского файла",,
"Files","Форматы банковских файлов",,
"Final balance","Выверка банковских счетов",,
"Final balance btn","Линии выверки банковских счетов",,
"Financial Discount","Ближе. банковские",,
"Financial Discount in value","Выписка из банковского счета",,
"From","Банковский учет / выверка счетов",,
"From Date","Реквизиты банковской выписки",,
"Fully reconciled ?","Строка банковской выписки",,
"Functional Origin","Мастер печати строк выписки",,
"Further information","Строки банковской выписки",,
"G - Deposit reference","Банковские выписки",,
"G - Sender reference","Формат файла банковских выписок",,
"G1 - Bank code","Форматы файлов банковских выписок",,
"G1 - Bank establisment code","Правило сопоставления / сверки",,
"General","ребер",,
"Generate Bank order","Ребро неактивно.",,
"Generate bank payment configurations","RIB в настройке учетной записи отсутствует.",,
"Generated file","Ребро отсутствует в счете %s.",,
"Get date","Неподтвержденные ребра",,
"Global attributes","Дерево ребер",,
"Green","Банковский ордер",,
"ICS Number","Дата банковского ордера",,
"If actived, on the bankReconciliation form, once the button Load Statement will be clicked, accounting of entries will be executed","Сумма банковского заказа",,
"If checked, the bank order form view will use an editor widget, which will make adding new lines easier but will cause performance issues if the bank order has too many lines.","Конфигурация. банковские заказы",,
"Import","Подтверждение банковского заказа",,
"Imported","Валюта банковского ордера",,
"Include other bank statements","Дата погашения банковского ордера",,
"Initial balance","Файл экспорта банковских заказов не существует.",,
"Interbank code/Payment mode","Папка экспорта банковских заказов",,
"Interbank payment order","Формат файла банковских ордеров",,
"International Bank to Bank Transfers","Форматы файлов банковских ордеров",,
"International Credit Transfer","генерация банковских ордеров",,
"International Credit Transfers","Строка банковского ордера",,
"International Direct Debit","Выполнение банковского заказа",,
"International Direct Debits","Банковские заказы",,
"International Treasury transfer","Банковские ордера могут быть удалены только в статусах ""черновик « и »отменен"".",,
"International credit transfers","Пакетные банковские платежи",,
"International direct debits","Конфигурация. Банковские платежи (${ имя })",,
"International treasury transfers","Настройка банковских платежей",,
"Invoice","Конфигурации банковских платежей",,
"Invoice term","Сверяемая сумма должна быть меньше или равна кредитной или дебетовой.",,
"Invoices to be processed","Приблизительная сумма",,
"Is posted","Выверка банковских счетов",,
"Is selected bank reconciliation","Линия выверки банковских счетов",,
"Journal","Линии выверки банковских счетов",,
"Journals",,,
"LCR","Отчет о выверке банковских счетов",,
"LCR Bank orders","Образец отчета о выверке банковских счетов",,
"LCR bank orders","Выверка банковских счетов",,
"Label","Выписка из банковского счета",,
"Legend for dynamic parameter manage in bank payment config : %amt+ for a tolerance of +X% on amount, %amt- for -X%, %date for a tolerance of + or - X days","Выписка из банковского счета уже импортирована. Импорт прерван.",,
"Lettering to invoice","Реквизиты банковской выписки",,
"Line type",,,
"Load bank statements","Мастер печати строк выписки",,
"Load other bank statements","Строки банковской выписки",,
"Manage bank to bank transfer payment","Шаблон строк банковской выписки",,
"Manage bill of exchange","Запросы банковской выписки",,
"Manage credit transfer payment","Запрос банковской выписки",,
"Manage direct debit payment","Правило"," связанное с выписками",
"Manual","Правила"," связанные с выписками",
"Merge bank orders","Банковская выписка(выписки) удалена(удалены) ",,
"Missing bank statement file","Форматы файлов банковских выписок",,
"Missing bank statement file format","Переводы между банками",,
"Monthly payment schedules","Учетный счет для банковских заказов (несколько компаний)",,
"MonthlyPaymentScheduleLines (batch)","Учетный счет для банковских заказов (только для одной компании)",,
"Move","Конфигурация RIB/способ оплаты/межбанковский код",,
"Move Line","Получатель",,
"Move line","банковский счет",,
"Move line's fetch query","Сумма",,
"Move line's fetching","Счет ликвидности",,
"Move line's query formula has not been evaluated to a Move line","Код",,
"Move lines","Предприятие",,
"Movement","Кредит",,
"Moves amount remaining to reconcile","Валюта",,
"Moves generated","Дебетовый",,
"Moves ongoing reconciled balance","Банк",,
"Moves reconciled line balance","Строки банковской выписки",,
"Moves theoretical balance","Имя",,
"Moves unreconciled line balance","В процессе согласования",,
"Multicurrency","Священные писания"," не сверенные",
"Multidate",,,
"Multiple reconcile","Справочная выписка по банковскому счету",,
"Multiple reconciles","Дата",,
"Name","Дата публикации",,
"National Bank to Bank Transfers","Дата",,
"National Treasury transfer","Типизированный",,
"National treasury transfer","Строки письма"," не расположенные близко друг к другу",
"New theoretical balance","Синтез",,
"No address has been defined in the receiver %s","Учетный счет",,
"No address has been defined in the sender company %s","Баланс бухгалтерского учета",,
"No bank orders found","Разница в бухгалтерском учете и банке",,
"No folder path has been defined in the payment mode %s","Учетный счет",,
"No indication","Остаток",,
"No processed payment schedule lines","оставшаяся",,
"None","сумма подлежащая выверке сумма",,
"Not accepted LCR","Банковский баланс",,
"Not exempt","Выписка из банковского счета",,
"Not reconciled and onGoing","Код",,
"Not rejected","Предприятие",,
"Number of lines","Кредит",,
"Number of retrieved bank statements: %d.","Валюта",,
"Only validated payment schedule lines can be rejected.","Дата",,
"Opening and closing balance don't match with the sum of movements.","Скорость передачи",,
"Operation Code","Описание",,
"Operation date","Журнала",,
"Orange","Журнал",,
"Order Type","Линия",,
"Order debit type","Состояние списания средств с банковского счета",,
"Order overall debit","Имя",,
"Origin","Записей не найдено.",,
"Origins","Строки банковской выписки"," не сверенные или частично сверенные",
"Other","Строки записей"," не совпадающие или частично расположенные близко друг к другу",
"Other bank order types","Разница в согласовании",,
"Overall debit by transfer currency","ссылка",,
"Parent payment schedule cannot be null.","Непроверенный баланс бухгалтерского учета",,
"Partially reconciled bank statement line","БАЛАНС БУХГАЛТЕРСКОГО УЧЕТА ПО СОСТОЯНИЮ НА",,
"Partially rejected","ВЫПИСКА ИЗ БУХГАЛТЕРСКОГО УЧЕТА",,
"Partner","ОСТАТОК ПОСЛЕ ВЫВЕРКИ",,
"Partner active UMR is missing.","ОСТАТОК"," ИЗВЛЕЧЕННЫЙ НА",
"Partner fetch's method","Банк",,
"Partner is missing.","ВЫПИСКА О СНЯТИИ СРЕДСТВ С БАНКОВСКОГО СЧЕТА",,
"Partner's fetch query","Комментарий",,
"Partner's fetching","Сверка исправлена",,
"Partner's query formula has not been evaluated to a Partner","по",,
"Payment Mode",,,
"Payment Reason","номиналу IBAN",,
"Payment account management","Формулировка",,
"Payment method is missing.","ОТЧЕТ О ВЫВЕРКЕ БАНКОВСКИХ СЧЕТОВ В",,
"Payment mode is missing on the invoice %s","Дата написания",,
"Payment reason line1","СОСТОЯНИЕ НЕПУНКТУАЛЬНЫХ В",,
"Payment reason line2","Дата операции",,
"Payment reason line3","Дата подтверждающий документ",,
"Payment reason line4","Номер Точки",,
"Payment schedule line","A",,
"Payment schedule line cannot be null.",,,
"Payment schedule line rejection","ВСЕГО ГЕНЕРАЛОВ",,
"Payment schedule line rejection filters","Дата валютирования",,
"Payment schedule lines","Импортировать",,
"Payment schedule lines to reject","Валюта счета :",,
"Payment schedules","Банковский счет :",,
"Payment session","Дата создания",,
"Piece dates","в",,
"Piece due dates","кредит",,
"Piece references","Скорость Потока",,
"Please add an Active UMR to the partner.","Exo.",,
"Please fill bank order date","Окончательный остаток",,
"Please fill bank order type","Суммы указаны в валюте банковского счета.",,
"Please fill currency for the bank order","R. I. B.:",,
"Please fill partner type for the bank order","начальный баланс",,
"Please fill the address in %s's partner details.","Формулировка",,
"Please fill the bank address in the receiver bank details.","Движение",,
"Please fill the bank details","DO",,
"Please fill the bank in the receiver bank details.","N<sup>o< / sup> запись",,
"Please fill the city in %s's partner details.","Ссылка.",,
"Please fill the receiver bank details","Выписки со счетов",,
"Please fill the sender bank details currency.","Итого по операциям",,
"Please fill the sender company","Индиспо.",,
"Please fill the zip in %s's partner details.","DV",,
"Please select a cash account in the bank statement rule %s","O",,
"Please select a company for the bank order lines inserted","массовая обработка",,
"Please select a counterpart account in the bank statement rule %s","Этапы лечения",,
"Please select a partner for the bank order lines inserted","Последовательности банковских заказов LCR",,
"Please select a payment mode","Тип данных эффектов",,
"Please select a reconciliation line","генерация эффектов",,
"Please select a signatory","Счет дебиторской",,
"Please select at least one bank reconciliation line (button on right side of table).","задолженности LCR",,
"Please select at least one bank reconciliation line for multiple reconciles","Файл привязки",,
"Please select at least two bank orders","Заполнив это поле, выбранный налог будет применен к строкам записи, налог которых является обязательным, вместо налога, указанного в конфигурации учетной записи бухгалтерского учета",,
"Please select draft bank orders only","C1-тип соглашения",,
"Please select one bank reconciliation line","C1-адрес тягача : номер и название полосы движения",,
"Please select one bank reconciliation line and one move line","C1-Ссылка",,
"Please select one move line","C1-2: Справочная информация о чертеже",,
"Please select some bank orders that have the same currency","Пожалуйста"," выберите банковские ордера",
"Please select some bank orders that have the same partner type","Пожалуйста"," выберите банковские ордера одного типа",
"Please select some bank orders that have the same payment mode","Пожалуйста"," выберите банковские ордера",
"Please select some bank orders that have the same sender bank details","Пожалуйста"," выберите банковские ордера",
"Please select some bank orders that have the same sender company","Пожалуйста"," выберите банковские ордера",
"Please select some bank orders that have the same status","Пожалуйста"," выберите банковские ордера",
"Please select statements","Пожалуйста"," выберите выписки",
"Please set a currency in the sender bank details : %s.","Пожалуйста"," укажите валюту в банке-эмитенте: %s",
"Pledge of receivables under a Dailly agreement","Обеспечение дебиторской задолженности в соответствии с соглашением Dailly",,
"Posted number","Номер счета",,
"Print","Распечатать",,
"Print bank statement lines","Распечатать строки выписки",,
"Printings",,,
"Qualifying of amount","Определяющий сумму",,
"Qualifying of date","Определяющий дату",,
"Query","Запрос",,
"Received","Получаемый",,
"Receiver",,,
"Receiver Info.","Информация О Получателе. Получатель",,
"Receiver address","Адрес получателя",,
"Receiver address required","Требуемый адрес получателя",,
"Receiver country","Страна получателя",,
"Receiver move","Бухгалтерская запись (получатель)",,
"Reconcile selected","Навести",,
"Reconciled bank statement line","Близкая линия",,
"Reconciled move lines","Близкие Писания",,
"Reconciliation auto","Автоматическое сближение",,
"Reconciliation corrected at","Сверка исправлена",,
"Red",,,
"Reference","Ссылка",,
"Reimbursement","Возврат",,
"Reject","Отторжение",,
"Reject Move","Написание отказа",,
"Reject Reason","Причина отказа",,
"Reject information","Информация об отказе",,
"Reject selected lines","Отклонить выбранные строки",,
"Rejected","Отклонено (е)",,
"Rejection Status","Статус отклонения",,
"Rejection date","Дата отклонения",,
"Rejection reason","Причина отказа",,
"Rejects/Return Reason Code","Код причины отклонения / возврата",,
"Related to","Связанные с",,
"Related to select","Связанный с выбором",,
"Remains to be reconciled",", еще предстоит приблизиться",,
"Represent","Представлять",,
"Reveiver and sender","Получатель и отправитель",,
"Rule type","Тип правила",,
"Run bank reconciliation","инициировать банковскую выверку",,
"SEPA Bank to Bank Transfers","Переводы тресо. Знать",,
"SEPA Credit Transfer","Перевод SEPA",,
"SEPA Credit Transfers","Переводы SEPA",,
"SEPA Direct Debit","Отбор проб SEPA",,
"SEPA Direct Debits","Пробы SEPA",,
"SEPA credit transfers","Переводы SEPA",,
"SEPA direct debits","Пробы SEPA",,
"Search and accounting rule Config.","Конфигурация поиска и правила учета",,
"Searched label","Искомая формулировка",,
"See Bank Order Lines","Посмотреть строки банковских ордеров",,
"See bank statement lines","Посмотреть строки банковских выписок",,
"Select",,,
"Select / Unselect","Выбрать / Отменить Выбор",,
"Select move lines to reconciles","Выбрать строки записей для сближения",,
"Selected bank reconciliation is under correction and can not be deleted","Выбранная банковская выверка корректируется и поэтому не может быть удалена",,
"Selected bank reconciliation is validated and can not be deleted","Выбранная банковская выверка подтверждена и, следовательно, не может быть удалена",,
"Selection total for bank reconciliation lines","Суммирование линий сближения. выбранный банк",,
"Selection total for unreconciliated move lines","Количество выбранных операций сверки для сверки",,
"Send a Bank Order","Отправить банковский заказ",,
"Send a bank order","Отправить банковский заказ",,
"Send bank order","Отправить банковский заказ",,
"Send note bills","Отправлять выписки по счетам",,
"Sender","Передатчик",,
"Sender Bank details","Ребро передатчика",,
"Sender Company","Информация о компании-эмитенте",,
"Sender Info.",". Передатчик",,
"Sending date","Дата отправки",,
"Sent to bank","Отправлено в",,
"Seq.","банк Seq.",,
"Sequence","Последовательность",,
"Sequence is already used","Последовательность уже используется",,
"Show reconciled move lines","Смотрите священные писания крупным планом",,
"Some entries from the reconciliation have an empty moveLine and an account filled. The cash account is required to generate automatically the counterpart Move Lines for those entries.","В некоторых записях сверки есть незаполненная строка записи и заполненный счет бухгалтерского учета. Учетная запись ликвидности требуется для автоматического создания записей / строк записей для этих записей.",,
"Some entries from the reconciliation have an empty moveLine and an account filled. The journal is required to generate automatically the Move/Move Lines for those entries.","В некоторых записях сверки есть незаполненная строка записи и заполненный счет бухгалтерского учета. Журнал необходим для автоматического создания записей/строк записей для этих записей.",,
"Special instructions","Конкретные",,
"Special instructions line1","инструкции конкретные инструкции строка 1",,
"Special instructions line2","Конкретные инструкции строка 2",,
"Special instructions line3","Конкретные инструкции строка 3",,
"Specific attributes","Конкретные атрибуты",,
"Specific tax","Конкретный налог",,
"Starting Balance","начальный",,
"Statement amount remaining to reconcile","баланс еще предстоит сверить (выписка)",,
"Statement ongoing reconciled balance","Остаток по текущим выверкам (выписка)",,
"Statement reconciled line balance","Остаток по выверенным строкам (выписка)",,
"Statement theoretical balance","Теоретический баланс (выписка)",,
"Statement unrereconciled line balance","Остаток по несвертываемым строкам (выписка)",,
"Status","Статус",,
"Stm. Credit","отн. кредит",,
"Stm. Debit","отн. Дебет",,
"Supplier","поставщик",,
"Technical Origin","техническое происхождение",,
"Template",,,
"Test function","Функция тестирования модели",,
"The Iban is mandatory for the partner %s, bank order %s","Iban должен быть заполнен на треть %s, банковский ордер %s",,
"The analytic distribution is required in the move lines for account %s but no template has been set in the account configuration","Аналитическое распределение обязательно для строк записи для учетной записи %s, но ни одно из них не содержит сведений о настройке учетной записи",,
"The bank details %s attached to the invoice/ invoice term %s and to the partner %s is inactive. Only invoices with active bank details can be processed.","Процент RIB % s, связанный с векселем / сроком погашения %s и третьим процентом %s, не активен. Могут быть обработаны только счета/сроки платежа, связанные с активным RIB.",,
"The bank details type is not compatible with the accepted types in file format.","Тип банковского счета не разрешен форматом файла.",,
"The bank order %s has been generated successfully.","Банковский ордер %s был успешно сгенерирован.",,
"The bank order is not properly signed. Please correct it and sign it again.","Банковский ордер подписан неправильно. Пожалуйста, исправьте его и подпишите еще раз.",,
"The company %s does not have bank order sequence","Компания %s не имеет настроенной последовательности банковских ордеров",,
"The move %s can't be reversed because it is linked to a bank reconciliation with status validated","Запись %s не может быть запрошена, поскольку она связана с выверкой банковских счетов с подтвержденным статусом",,
"The moves %s couldn't be reversed because these are linked to a bank reconciliation with status validated","Записи %s не могут быть получены, поскольку они связаны с выверкой банковских счетов с подтвержденным статусом",,
"The payment status will not update.","Статус платежа не будет обновлен.",,
"The receiver bank details currency is not compatible with the currency in bank order.","Валюта RIB получателя несовместима с валютой банковского ордера",,
"The receiver bank details for the line %s is inactive.","Принимающий RIB для строки %s неактивен.",,
"The receiver bank details type is not compatible with the accepted types in file format.","Тип принимающего RIB не разрешен форматом файла.",,
"The selected bank statement doesn't contain, at the lines level, any information allowing to identify which bank details it concerns. Please verify the format of the data source or the configuration of the bank details in the software and please make sure both are matching.","""Выбранная выписка не содержит на уровне строк никакой информации, которая не позволяет идентифицировать соответствующий RIB. Пожалуйста, проверьте формат исходного файла или конфигурацию RIBs в приложении и убедитесь, что они совпадают"".",,
"The sender bank details currency is not compatible with the currency in bank order.","Валюта банковского счета эмитента несовместима с валютой банковского ордера",,
"The sender bank details is inactive.","Ребро передатчика неактивно.",,
"The validation of this payment session is supposed to generate a bank order with multiple execution dates while the file format associated with the payment mode does not support the multidate. Please select an adequate file format within the payment mode settings or change the parameter for the accounting date selection.","Предполагается, что проверка платежного сеанса генерирует банковский ордер с несколькими датами исполнения, в то время как формат файла, связанный с способом оплаты, не поддерживает multidate. Пожалуйста, выберите подходящий формат файла в настройках способа оплаты или измените выбранный параметр даты проводки.",,
"There is at least one incomplete bank reconciliation. Are you sure you want to continue?","Есть по крайней мере одна неполная банковская выверка. Вы хотите продолжить ?",,
"There is no file linked to this origin.","Там нет файла, связанного с этим источником.",,
"This action is irreversible, do you want to continue ?","Это действие необратимо, вы уверены, что продолжите ?",,
"This move line %s can not be archived because its bank reconciliation amount is superior to 0.","Эта строка записи %s не может быть заархивирована, поскольку ее сумма выверки банковских счетов больше 0.",,
"To",,,
"To Date","от",,
"To use the generated move in the formula, you can use the variable 'generatedMove'",,,
"To validate the reconciliation, each line must be marked with one or more move line, either existing or configured (Account, Third party). A move line will be generated automatically on the account and journal associated with the reconciliation session.","""Для подтверждения сверки каждая строка должна быть помечена одной или несколькими строками записи, существующими или заданными параметрами (учетная запись, третья сторона). Строка записи будет автоматически сгенерирована в учетной записи и журнале, связанных с сеансом сверки"".",,
"Total amount","Общая сумма общая",,
"Total amount in company currency","сумма в валюте компании",,
"Total amount of bank order lines must be equal to the bank order amount","Сумма банковского ордера должна быть равна сумме сумм по строкам банковского ордера",,
"Total cashed","Всего обналичено",,
"Total of selected move lines","Всего выбранных строк записи",,
"Total paid","Всего оплачено",,
"Totally rejected","Полностью отклонен",,
"Transfer or other","Перевод или иное",,
"Treasury transfer Bank orders sequences","Последовательности банковских заказов на перевод денежных средств",,
"Type","Типизированный",,
"Unavailability index","Индекс недоступен",,
"Unavailable","Недоступный",,
"Under correction","В процессе исправления",,
"Unit debit by operation","Пропускная способность на единицу продукции за операцию",,
"Unknown SEPA type for file generation","Неизвестный тип SEPA для генерации файла",,
"Unknown direct debit data type","Неизвестный тип данных выборки неизвестный",,
"Unknown format for file generation","формат для генерации файла",,
"Unknown format for file import process","неизвестный формат для процесса импорта",,
"Unreconcile selected","Удалить",,
"Unreconciled and On-going Reconciliation MoveLines","Строки ненаправленных и указываемых строк",,
"Unreconciled bank statement line","Линия без сближения",,
"Use editor in bank order form","Использовать редактор в форме банковского заказа",,
"Use iban only","Использовать только iban",,
"Validate","Подтвердить",,
"Validate reconciliation","подтвердить сверку",,
"Validated","Проверенный",,
"Validated By","Подтверждено",,
"Validated On","подтверждено",,
"Validation date","Дата подтверждения",,
"Value date","Дата валютирования",,
"With formula","С отличной формулой",,
"You can't validate this bank order. you need to fill at least one bank order line","Вы не можете подтвердить этот банковский ордер. Ни одна строка банковского заказа еще не была заполнена",,
"Your bank detail's bank account for bank details %s (%s) is different from the cash account of the account config for %s's bank statement rule (%s). Please fix it before auto accounting the bank statement.","Банковский расчетный счет вашего RIB для %s (%s) отличается от расчетного расчетного счета в конфигурации учета для Правила, связанного с выписками %s (%s). Пожалуйста, исправьте эту проблему, прежде чем приступить к автоматическому учету выверки банковских счетов.",,
"and","и",,
"bankorder.invoicePayment","оплата по счету-фактуре",,
"by",,,
"camt.053.001.02.stm",,,
"camt.054.001.02.abb",,,
"camt.054.001.02.act",,,
"camt.054.001.02.add",,,
"camt.fin.mt940.stm",,,
"camt.fin.mt942.rep",,,
"camt.xxx.cfonb120.rep",,,
"camt.xxx.cfonb120.stm",,,
"camt.xxx.cfonb240.ach",,,
"camt.xxx.cfonb240.act",,,
"camt.xxx.cfonb240.ard",,,
"camt.xxx.cfonb240.atg",,,
"camt.xxx.cfonb240.ati",,,
"camt.xxx.cfonb240.cai",,,
"camt.xxx.cfonb240.dri",,,
"camt.xxx.cfonb240.pco",,,
"camt.xxx.cfonb240.rch",,,
"camt.xxx.cfonb240.rco",,,
"camt.xxx.cfonb240.rct",,,
"camt.xxx.cfonb240.rep",,,
"camt.xxx.cfonb240.rsd",,,
"camt.xxx.cfonb240.rtg",,,
"camt.xxx.cfonb240.rti",,,
"camt.xxx.cfonb560.ara",,,
"csv.jma.dot",,,
"csv.ymd.dot",,,
"pain.001.001.02.ict",,,
"pain.001.001.02.mct",,,
"pain.001.001.02.rft",,,
"pain.001.001.02.sct",,,
"pain.001.001.02.xct",,,
"pain.001.001.03.ict",,,
"pain.001.001.03.sct",,,
"pain.001.001.03.xct",,,
"pain.002.001.01.ara",,,
"pain.002.001.02.ack",,,
"pain.002.001.02.ara",,,
"pain.008.001.01.sbb",,,
"pain.008.001.01.sdd",,,
"pain.008.001.02.sbb",,,
"pain.008.001.02.sdd",,,
"pain.fin.mt101.dct",,,
"pain.fin.mt101.mct",,,
"pain.fin.mt101.xct",,,
"pain.xxx.cfonb160.dco",,,
"pain.xxx.cfonb160.dct",,,
"pain.xxx.cfonb160.dda",,,
"pain.xxx.cfonb160.ddd",,,
"pain.xxx.cfonb160.dtg",,,
"pain.xxx.cfonb160.dvd",,,
"pain.xxx.cfonb160.ict",,,
"pain.xxx.cfonb240.bco",,,
"pain.xxx.cfonb240.tch",,,
"pain.xxx.cfonb320.dct",,,
"pain.xxx.cfonb320.rft",,,
"pain.xxx.cfonb320.sct",,,
"pain.xxx.cfonb320.xct",,,
"pain.xxx.fff.ech",,,
"pain.xxx.fff.lch",,,
"pain.xxx.payext912.vct",,,
"pain.xxx.payext96a.vct",,,
"pain.xxx.payord912.ict",,,
"pain.xxx.payord912.xct",,,
"pain.xxx.vcom400.vct",,,
"value:Bank payment","Банковский платеж",,
"■",,,
"▲",,,
"◉",,,
